"","X","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust","RDA.RDA1","RDA.PC1"
"GrubKranawetberg_04_03", 81,"GrubKranawetberg", 6,26, 4.3, 127,71, 63,201,2,3,14.2,54,12.6,48,0.9, 1.8, 29, 4.6, 76,  0.4, 58,-0.4,-0.2,1.927692,29.5,"Microlithic_backed_point","Lower Austria",1, 0.036664738, 0.083568927
"GrubKranawetberg_04_04", 82,"GrubKranawetberg", 5,20, 4.0,  88,83, 51,172,5,3, 8.9,44,11.8,58,1.3, 4.0, 80, 1.2, 24,  3.3, 67, 0.4, 0.2,1.896867,29.5,"Microlithic_backed_point","Lower Austria",1, 0.342262875, 0.191702490
"GrubKranawetberg_04_05", 83,"GrubKranawetberg", 3,21, 7.0,  64,70, 48,133,2,2, 8.2,39,13.2,62,1.6, 1.1, 35, 2.6, 87,  0.4, 45,-0.2,-0.2,1.873248,29.5,"Microgravette_point","Lower Austria",1,-0.123261705, 0.237387218
"GrubKranawetberg_04_06", 84,"GrubKranawetberg", 5,22, 4.4,  97,68, 53,183,3,2, 7.7,35,15.3,69,2.0, 2.5, 49, 3.2, 63,  0.8, 50,-0.2,-0.4,1.924376,29.5,"Microgravette_point","Lower Austria",1, 0.039758346, 0.153786785
"GrubKranawetberg_04_07", 85,"GrubKranawetberg", 5,27, 5.4, 115,74, 65,176,4,3,13.2,48,14.4,53,1.1, 3.9, 77, 1.4, 28,  2.8, 49, 0.0,-0.4,1.909138,29.5,"Microgravette_point","Lower Austria",1, 0.040652647, 0.092960725
"GrubKranawetberg_04_08", 86,"GrubKranawetberg", 3,30,10.0,  82,64, 65,126,4,4,18.2,60,11.8,39,0.6, 2.6, 87, 0.9, 29,  3.0, 44,-0.2, 0.4,1.955953,29.5,"Microgravette_point","Lower Austria",1,-0.421778943, 0.212821738
"GrubKranawetberg_04_09", 87,"GrubKranawetberg", 5,40, 8.0, 180,76, 90,200,4,2, 8.2,20,31.8,79,3.9, 3.9, 77, 1.9, 38,  2.0, 25, 0.0,-1.6,2.000089,29.5,"Microgravette_point","Lower Austria",1,-0.172599062,-0.113256421
"GrubKranawetberg_04_10", 88,"GrubKranawetberg", 5,25, 5.0, 105,67, 59,177,3,3,10.9,43,15.1,60,1.4, 2.6, 52, 2.8, 56,  0.9, 48, 0.0,-0.7,1.915631,29.5,"Microgravette_point","Lower Austria",1,-0.005308937, 0.112534083
"GrubKranawetberg_04_11", 89,"GrubKranawetberg", 6,25, 4.2, 141,78, 60,235,4,3,11.8,47,13.7,54,1.2, 4.9, 81, 1.9, 32,  2.5, 70,-0.2, 0.0,1.939668,29.5,"Microlithic_backed_point","Lower Austria",1, 0.166797239, 0.094389960
"GrubKranawetberg_04_12", 90,"GrubKranawetberg", 3,27, 9.0,  80,69, 62,129,4,3,14.0,51,13.3,49,1.0, 2.6, 87, 1.2, 40,  2.1, 43, 0.0, 0.2,1.963718,29.5,"Microgravette_point","Lower Austria",1,-0.252009183, 0.214499828
"GrubKranawetberg_04_13", 91,"GrubKranawetberg", 5,21, 4.2,  83,65, 51,162,3,3,10.2,48,10.9,51,1.1, 3.0, 59, 2.3, 45,  1.3, 64, 0.0,-0.4,1.894693,29.5,"Microgravette_point","Lower Austria",1, 0.044942930, 0.175945374
"GrubKranawetberg_04_14", 92,"GrubKranawetberg", 6,28, 4.7, 139,65, 66,210,2,3,12.6,45,16.1,57,1.3, 1.4, 23, 5.3, 87,  0.3, 51,-0.5, 0.2,1.951893,29.5,"Microgravette_point","Lower Austria",1,-0.076035345, 0.099359424
