ID,site,width,length,l_w_index,area,percent_area,contour_length,area_contour_ratio,upper_to_lower_ratio,left_to_right_ratio,tip_angle,MP_CM_x_offset,MP_CM_y_offset,typology,reference,ka_cal_BP,region,filter
Predmosti1b_01_21,Predmosti1b,9.9,39.5,4.0,284.9,71.0,90,316.6,2.4,0.9,43.3,-0.4,-1.8,Awl,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_22,Predmosti1b,11.5,34.1,2.97,261.5,66.0,81,322.8,1.6,1.0,50.9,0.0,-1.2,Microlith,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_23,Predmosti1b,8.6,44.5,5.16,310.0,76.0,103,301.0,2.4,1.0,48.3,-0.1,-0.6,Microgravette_point,"Absolon et al., 1977",30.9,Moravia,1
Predmosti1b_01_24,Predmosti1b,9.1,10.6,1.16,76.3,78.0,36,212.0,0.9,0.2,117.6,-0.5,0.0,Flechette,"Absolon et al., 1977",30.9,Moravia,0
Willendorf5_01_01,Willendorf5,4.1,30.0,7.28,98.5,65.0,66,149.3,1.9,12.6,34.1,0.1,-0.3,Microgravette_point,"Moreau, 2010",31.5,Lower Austria,1
Willendorf5_01_02,Willendorf5,7.3,18.2,2.51,92.7,71.0,45,206.1,2.5,1.8,52.1,0.4,-1.3,Flechette,"Moreau, 2010",31.5,Lower Austria,0
Willendorf5_01_03,Willendorf5,4.1,15.6,3.85,47.2,72.0,36,131.2,1.2,0.5,61.9,-0.3,0.0,Microgravette_point,"Moreau, 2012",31.5,Lower Austria,1
Willendorf5_01_04,Willendorf5,9.2,19.7,2.15,115.7,63.0,50,231.3,0.7,1.0,91.3,0.1,0.4,Double_backed_point,"Moreau, 2010",31.5,Lower Austria,0
Willendorf5_01_05,Willendorf5,5.5,25.6,4.69,101.9,64.0,60,169.8,1.2,7.2,41.7,0.2,-1.0,Microgravette_point,"Moreau, 2010",31.5,Lower Austria,1
Willendorf5_01_06,Willendorf5,3.5,17.7,5.12,51.8,83.0,43,120.5,1.1,0.8,51.5,-0.1,-0.5,Microlith,"Moreau, 2012",31.5,Lower Austria,1
Willendorf5_01_07,Willendorf5,3.5,14.5,4.19,38.4,71.0,33,116.3,1.3,4.7,53.9,0.2,0.1,Microgravette_point,"Moreau, 2010",31.5,Lower Austria,1
Willendorf5_01_08,Willendorf5,4.6,25.1,5.45,86.7,75.0,55,157.6,1.1,0.7,41.3,-0.2,-0.6,Microgravette_point,"Otte, 1991",31.5,Lower Austria,1
Willendorf5_01_09,Willendorf5,3.0,22.2,7.49,50.8,75.0,48,105.9,1.8,2.5,31.2,0.0,-0.4,Double_backed_point,"Moreau, 2010",31.5,Lower Austria,1
Willendorf5_01_10,Willendorf5,4.7,17.2,3.64,59.8,72.0,40,149.4,1.3,3.6,54.6,0.3,-0.2,Microlith,"Moreau, 2010",31.5,Lower Austria,1
Willendorf5_01_11,Willendorf5,4.1,17.7,4.36,58.1,78.0,43,135.1,1.7,1.8,55.3,0.0,-0.2,Microgravette_point,"Moreau, 2010",31.5,Lower Austria,1
Willendorf5_01_12,Willendorf5,3.9,18.5,4.69,56.9,76.0,41,138.8,0.8,1.4,55.4,-0.1,-0.2,Microlith,"Otte, 1991",31.5,Lower Austria,1
Willendorf5_01_13,Willendorf5,4.2,19.6,4.63,68.7,87.0,49,140.3,0.7,0.9,5.3,-0.3,-0.1,Double_backed_point,"Moreau, 2010",31.5,Lower Austria,0
Willendorf5_01_14,Willendorf5,5.3,26.9,5.1,110.4,67.0,60,184.0,1.6,6.2,46.0,0.2,-0.2,Microgravette_point,"Otte, 1991",31.5,Lower Austria,1
Willendorf5_01_15,Willendorf5,3.5,24.5,7.09,68.3,84.0,53,128.9,1.4,0.6,35.4,-0.2,-0.7,Microlith,"Moreau, 2010",31.5,Lower Austria,1
