"","ID","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust"
"216","Petrkovice1a_01_16","Petrkovice1a",4,31,7.8,107,57,72,148,5,2,7.7,24,24.1,77,3.1,4.6,115,0.2,5,21.5,25,-0.2,-0.9,1.92473651494357,27.5,"Saw","Moravia",1
"217","Predmosti1b_01_02","Predmosti1b",14,63,4.5,648,68,151,429,3,3,30.8,48,33.1,52,1.1,7.2,51,7.1,50,1,48,0.1,-0.8,1.86390866623046,30.9,"Awl","Moravia",2
"218","Predmosti1b_01_06","Predmosti1b",19,76,4,1030,68,176,585,3,2,25,32,51.8,68,2.1,11,57,8.1,42,1.4,39,0.2,-3.2,1.90249961508632,30.9,"Point_on_curved_axis","Moravia",2
"219","Predmosti1b_01_07","Predmosti1b",7,34,4.9,186,67,82,226,3,1,6.4,18,27.9,81,4.4,3.1,44,4.4,62,0.7,32,-0.5,-2.1,1.88001013226305,30.9,"Gravette_point","Moravia",1
"220","Predmosti1b_01_08","Predmosti1b",6,27,4.5,114,66,62,183,5,2,9.5,35,17.9,66,1.9,5.9,97,0.2,4,23.5,34,0.5,-0.8,1.98080519277955,30.9,"Awl","Moravia",1
"221","Predmosti1b_01_09","Predmosti1b",7,42,6,227,70,98,231,3,3,20.4,48,22.1,52,1.1,3.4,48,4,57,0.8,39,-0.2,-0.8,1.93993293326564,30.9,"Awl","Moravia",1
"222","Predmosti1b_01_10","Predmosti1b",9,41,4.6,303,72,95,318,3,2,16.5,40,25.2,61,1.5,4.8,52,4.9,54,1,48,-0.2,-1,1.91458632140564,30.9,"Gravette_point","Moravia",1
"223","Predmosti1b_01_14","Predmosti1b",12,37,3.1,288,60,92,313,3,3,22.1,59,15.4,41,0.7,7,58,5.1,42,1.4,54,0.6,-0.8,1.93198449056891,30.9,"Gravette_point","Moravia",1
"224","Predmosti1b_01_15","Predmosti1b",7,39,5.6,227,72,87,260,4,2,13.8,35,25.2,64,1.8,5.5,78,2.4,33,2.3,36,0.1,-1.2,1.95465124380929,30.9,"Gravette_point","Moravia",1
"225","Predmosti1b_01_16","Predmosti1b",15,56,3.7,632,71,132,478,4,2,22.1,39,34.8,62,1.6,9.1,60,6,40,1.5,49,-0.1,-1.5,1.98638633013257,30.9,"Notched_piece","Moravia",2
"226","Predmosti1b_01_17","Predmosti1b",9,45,5,312,70,107,291,3,3,24,53,21.4,47,0.9,5.6,62,4,44,1.4,47,0.1,-1,1.9036464940788,30.9,"Awl","Moravia",1
"227","Predmosti1b_01_19","Predmosti1b",10,34,3.4,224,63,79,283,3,2,11.8,34,22.4,65,1.9,5.8,57,4.5,45,1.3,44,0,-1,1.92111104127584,30.9,"Gravette_point","Moravia",1
"228","Predmosti1b_01_20","Predmosti1b",9,45,5,286,69,102,280,3,3,22.8,50,22.6,50,1,5,55,4,44,1.2,43,0.4,-0.6,1.97022666526971,30.9,"Awl","Moravia",1
"229","Predmosti1b_01_21","Predmosti1b",9,39,4.3,284,71,90,315,3,2,11.8,30,27.8,71,2.4,4.8,52,5.1,56,0.9,43,-0.4,-1.8,1.91932487141087,30.9,"Awl","Moravia",1
"230","Predmosti1b_01_22","Predmosti1b",11,34,3.1,261,65,81,322,3,2,13.4,39,20.8,61,1.6,5.8,52,5.8,52,1,50,0,-1.2,1.91763564496796,30.9,"Microlith","Moravia",1
"231","Predmosti1b_01_23","Predmosti1b",8,44,5.5,310,76,103,300,3,2,13.1,29,31.4,71,2.4,4.2,53,4.4,54,1,48,-0.1,-0.6,1.97383403660779,30.9,"Microgravette_point","Moravia",1
"232","Willendorf5_01_01","Willendorf5",4,30,7.5,100,71,66,151,4,2,11.4,37,18.6,62,1.6,3.4,86,0.7,17,5,35,0.1,-0.3,1.9192262117304,31.5,"Microgravette_point","Lower Austria",1
"233","Willendorf5_01_03","Willendorf5",4,15,3.8,48,72,36,133,2,3,6.9,45,8.8,58,1.3,1.4,34,2.8,68,0.5,62,-0.3,0,1.97123767060528,31.5,"Microgravette_point","Lower Austria",1
"234","Willendorf5_01_05","Willendorf5",5,25,5,104,69,60,173,5,3,11.9,47,13.8,55,1.2,5,100,0.5,10,9.7,45,0.4,-0.9,1.88763199177127,31.5,"Microgravette_point","Lower Austria",1
"235","Willendorf5_01_06","Willendorf5",3,17,5.7,52,80,43,120,3,3,8.4,49,9.5,55,1.1,1.6,51,2,66,0.8,51,-0.1,-0.6,1.952355514695,31.5,"Microlith","Lower Austria",1
"236","Willendorf5_01_07","Willendorf5",3,14,4.7,38,69,33,115,4,3,6.6,46,8.1,57,1.2,2.9,97,0.5,17,5.7,53,0.1,0,1.95954709699874,31.5,"Microgravette_point","Lower Austria",1
"237","Willendorf5_01_08","Willendorf5",4,25,6.2,88,73,58,151,3,3,11.6,46,13.8,55,1.2,2,49,2.7,66,0.7,39,-0.2,-0.6,1.93083497463163,31.5,"Microgravette_point","Lower Austria",1
"238","Willendorf5_01_09","Willendorf5",3,22,7.3,51,73,49,104,4,2,7.8,35,14.6,66,1.9,2.2,71,0.9,28,2.5,31,0,-0.4,1.8654374827665,31.5,"Double_backed_point","Lower Austria",1
"239","Willendorf5_01_10","Willendorf5",4,17,4.2,59,68,40,147,4,3,7.4,43,9.9,58,1.3,3.7,92,1,25,3.6,54,0.3,-0.2,2.00537940694244,31.5,"Microlith","Lower Austria",1
"240","Willendorf5_01_11","Willendorf5",3,17,5.7,57,77,41,139,3,3,9.7,57,8.1,47,0.8,2.2,74,1.7,57,1.3,60,0,-0.2,1.97567422809143,31.5,"Microgravette_point","Lower Austria",1
"241","Willendorf5_01_12","Willendorf5",3,18,6,57,75,41,139,3,4,11.3,62,7.4,41,0.7,2.2,74,1.6,54,1.4,54,0.1,-0.2,1.97108646386635,31.5,"Microlith","Lower Austria",1
"242","Willendorf5_01_14","Willendorf5",5,26,5.2,113,74,60,188,4,3,13.4,51,13.1,50,1,3.9,77,1.4,27,2.8,54,0.3,-0.3,1.87711556168414,31.5,"Microgravette_point","Lower Austria",1
"243","Willendorf5_01_15","Willendorf5",3,24,8,66,79,54,122,3,3,10.4,43,14.1,58,1.4,1.4,45,2,66,0.7,33,-0.2,-0.7,1.87238110762429,31.5,"Microlith","Lower Austria",1
"244","Willendorf5_01_16","Willendorf5",5,29,5.8,111,68,66,168,5,3,16.6,57,12.8,43,0.8,5,100,0.2,3,29,44,0.3,0,1.9515303046038,31.5,"Microgravette_point","Lower Austria",1
"245","Willendorf5_01_18","Willendorf5",4,28,7,109,73,63,173,4,3,17,60,11.7,41,0.7,3.8,94,1.1,28,3.4,49,0.3,0,1.9393424927054,31.5,"Microgravette_point","Lower Austria",1
"246","Willendorf5_01_20","Willendorf5",4,26,6.5,91,79,60,151,5,4,16.2,62,10.6,40,0.7,3.8,94,0.3,6,14.7,47,0.2,-0.7,1.90548294754798,31.5,"Retouched_blade","Lower Austria",1
"247","Willendorf6_01_03","Willendorf6",7,59,8.4,366,70,130,281,4,2,21,35,38.4,65,1.8,6.5,93,1.5,20,4.5,32,0.3,0,1.9268843188644,30.5,"Microgravette_point","Lower Austria",2
"248","Willendorf6_01_05","Willendorf6",6,36,6,180,64,82,219,2,2,12.7,35,23.7,65,1.9,1.6,26,5.1,84,0.3,41,-0.1,-0.6,1.91681248820257,30.5,"Bifacial_point","Lower Austria",2
"249","Willendorf6_01_06","Willendorf6",6,29,4.8,151,83,67,225,4,1,3.8,13,25.3,87,6.6,4.4,72,2.4,40,1.8,37,0.3,-1.9,2.00709775792905,30.5,"Blade_with_Aurignacian_retouch","Lower Austria",2
"250","Willendorf6_01_09","Willendorf6",7,37,5.3,198,65,85,232,2,2,14.2,38,23.5,63,1.6,1.4,19,5.8,83,0.2,43,-0.2,-0.6,1.92046564471496,30.5,"Blade_with_endretouch","Lower Austria",2
"251","Willendorf6_01_12","Willendorf6",9,64,7.1,418,70,147,284,2,4,38.8,60,25.7,40,0.7,3.1,33,6,66,0.5,37,-0.2,0.2,1.93096046410094,30.5,"Pointed_blade","Lower Austria",2
"252","Willendorf7_01_03","Willendorf7",4,33,8.2,122,71,73,167,2,2,12.5,37,20.7,62,1.7,1.9,47,2.9,73,0.7,35,-0.1,-0.2,1.91215737099998,30,"Retouched_blade","Lower Austria",1
"253","Willendorf7_01_08","Willendorf7",4,27,6.8,95,72,61,155,4,2,10.2,37,17,62,1.7,3.5,88,1.3,32,2.7,38,0.3,-0.6,1.91014360337709,30,"Microgravette_point","Lower Austria",1
"254","Willendorf7_01_10","Willendorf7",4,32,8,127,73,75,169,4,3,17.5,54,15.2,47,0.9,3.6,90,1.3,32,2.8,46,0.1,0,1.91639223668804,30,"Point_on_mousterian_flake","Lower Austria",1
"255","Willendorf7_01_17","Willendorf7",3,26,8.7,85,72,63,134,4,2,8,30,18.9,72,2.4,2.8,94,1.1,37,2.5,34,0.2,-0.4,1.89436630501423,30,"Pointed_blade","Lower Austria",1
"256","Willendorf8_01_03","Willendorf8",2,16,8,31,74,36,86,2,3,7.5,47,8.8,55,1.2,1.2,58,1.6,77,0.7,44,-0.4,-0.5,1.84637220979832,29.6,"Retouched_bladelet","Lower Austria",1
"257","Willendorf8_01_17","Willendorf8",5,19,3.8,79,73,48,164,5,3,8.3,43,10.9,57,1.3,4.9,98,0.8,15,6.3,48,0.5,-1,1.96132364426001,29.6,"Microlith","Lower Austria",1
"258","Willendorf8_01_18","Willendorf8",5,38,7.6,177,77,89,198,3,3,16.5,43,22.3,58,1.4,2.9,57,2.9,57,1,44,0,0.1,1.89316927779609,29.6,"Microlith","Lower Austria",1
